"code","iso","country","WST.raw.1970","WST.raw.1975","WST.raw.1980","WST.raw.1985","WST.raw.1989","WST.raw.1990","WST.raw.1991","WST.raw.1992","WST.raw.1993","WST.raw.1994","WST.raw.1995","WST.raw.1996","WST.raw.1997","WST.raw.1998","WST.raw.1999","WST.raw.2000","WST.raw.2001","WST.raw.2002","WST.raw.2003","WST.raw.2004","WST.raw.2005","WST.raw.2006","WST.raw.2007","WST.raw.2008","WST.raw.2009","WST.raw.2010","WST.raw.2011","WST.raw.2012","WST.raw.2013","WST.raw.2014","WST.raw.2015","WST.raw.2016","WST.raw.2017","WST.raw.2018","WST.raw.2019","WST.raw.2020","WST.raw.2021","WST.mry"
4,"AFG","Afghanistan",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0
8,"ALB","Albania",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.119,0.109,0.111,0.113,-9999,0.101,0.105,0.49,0.49
12,"DZA","Algeria",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.46,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.46
20,"AND","Andorra",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.07,0.072,0.15,0.232,0.189,0.144,0.703,0.748,0.877,1,0.948,1,1,1,1,1,1,1,1,1,-9999,-9999,1
24,"AGO","Angola",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0
660,"AIA","Anguilla",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
28,"ATG","Antigua and Barbuda",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
32,"ARG","Argentina",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.425,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.502,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.55,-9999,-9999,0.55
51,"ARM","Armenia",-9999,-9999,-9999,-9999,-9999,0.639,-9999,-9999,-9999,-9999,0.33,0.33,0.332,0.332,0.334,0.334,0.333,0.315,0.323,0.332,0.352,0.359,0.365,0.365,0.38,0.382,0.386,0.378,0.371,0.371,0.38,0.381,0.383,0.441,0.349,0.411,0.429,0.429
533,"ABW","Aruba",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
